Time (s),Voltage (V),Current (A),VIN expected (2x2 HDI V3),VIN,VOFS,VDDD_ROC0,VDDA_ROC0,VDDD_ROC1,VDDA_ROC1,VDDD_ROC2,VDDA_ROC2,VDDD_ROC3,VDDA_ROC3
1771490390.8316095,0.34,0.0004,1.0,0.35541,0.21546,0.00040422,0.00015158,-0.00010106,0.00025264,0.0,0.00020211,0.00010106,-0.00010106
1771490393.625394,0.679,0.1996,1.01564267533412,0.66409,0.63956,0.56985,0.53888,0.58936,0.52438,0.54772,0.51786,0.55116,0.53742
1771490396.4210873,0.729,0.3996,1.0312853506682398,0.69607,0.67032,0.6798,0.59886,0.68647,0.59168,0.67152,0.58658,0.67389,0.59815
1771490399.1759393,0.768,0.5995,1.04692802600236,0.71502,0.68882,0.70603,0.62175,0.70871,0.61806,0.70072,0.61356,0.70926,0.6217
1771490401.9796433,0.806,0.7998,1.0625707013364798,0.73458,0.70684,0.72594,0.64494,0.72912,0.64186,0.72144,0.63832,0.73038,0.64383
1771490404.7890613,0.846,0.9994,1.0782133766705997,0.75534,0.72682,0.74711,0.67091,0.7511,0.66899,0.75044,0.66692,0.75246,0.66929
1771490407.555275,0.877,1.199,1.0938560520047196,0.76696,0.73752,0.75984,0.68592,0.76358,0.6841,0.76211,0.68193,0.74039,0.68233
1771490410.3609464,0.899,1.399,1.1094987273388395,0.77045,0.74108,0.74574,0.68859,0.74236,0.68688,0.75933,0.68602,0.74529,0.68612
1771490413.1617403,0.929,1.599,1.1251414026729596,0.78045,0.75057,0.75893,0.70244,0.75438,0.70072,0.74842,0.69986,0.75726,0.69961
1771490415.9539793,0.972,1.799,1.1407840780070795,0.80617,0.77584,0.78717,0.73372,0.78313,0.73281,0.78819,0.737,0.78591,0.73175
1771490418.7150826,1.021,1.999,1.1564267533411994,0.83543,0.80374,0.82012,0.7704,0.81557,0.7704,0.81562,0.77485,0.81941,0.76929
1771490421.5079672,1.076,2.199,1.1720694286753193,0.87211,0.83794,0.85882,0.81365,0.85428,0.81431,0.85367,0.8185,0.85791,0.81249
1771490424.2648203,1.142,2.399,1.1877121040094392,0.91824,0.88103,0.90753,0.86767,0.90334,0.86731,0.90223,0.87216,0.90632,0.86645
1771490427.0703957,1.223,2.599,1.203354779343559,0.98039,0.93435,0.96988,0.93547,0.9663,0.93512,0.97145,0.93896,0.96913,0.93537
1771490429.8263242,1.294,2.799,1.2189974546776792,1.0321,0.97413,1.022,0.99196,1.0184,0.98964,1.0231,0.99363,1.0211,0.99075
1771490432.6281376,1.365,2.999,1.234640130011799,1.0847,0.98724,1.0742,1.0461,1.0688,1.0417,1.0728,1.0458,1.0713,1.0459
1771490435.4148202,1.434,3.199,1.250282805345919,1.1353,0.55698,1.123,1.0981,1.1176,1.0885,1.1056,1.0862,1.116,1.0964
1771490438.1786594,1.444,3.399,1.2659254806800389,1.1252,0.6404,1.1053,1.0879,1.1087,1.0808,1.1016,1.0781,1.1014,1.0866
1771490440.9750242,1.5,3.599,1.281568156014159,1.1631,0.51899,1.1404,1.1253,1.1405,1.109,1.1132,1.1033,1.1262,1.1239
1771490443.7791708,1.551,3.799,1.2972108313482789,1.1941,0.51715,1.1685,1.1581,1.1645,1.1197,1.113,1.1131,1.1328,1.1556
1771490446.5350354,1.628,3.999,1.3128535066823988,1.2534,0.51708,1.1898,1.2122,1.1771,1.1262,1.1151,1.1163,1.1337,1.1977
1771490449.3317585,1.698,4.198,1.3284961820165186,1.3044,0.51701,1.1904,1.2302,1.1787,1.1267,1.1218,1.1169,1.1354,1.2026
1771490452.0884717,1.76,4.398,1.3441388573506385,1.3464,0.51713,1.1932,1.2311,1.1792,1.1271,1.1226,1.1162,1.1371,1.2026
1771490454.8932865,1.803,4.598,1.3597815326847584,1.3708,0.51717,1.1928,1.2317,1.1783,1.1263,1.1246,1.1171,1.1358,1.2028
1771490457.6909008,1.845,4.798,1.3754242080188785,1.3927,0.5193,1.1941,1.2332,1.1804,1.1282,1.1306,1.1234,1.1378,1.2021
1771490460.4860222,1.884,4.998,1.3910668833529984,1.4136,0.51891,1.1943,1.2334,1.1798,1.1273,1.1249,1.1248,1.1372,1.2031
1771490463.2414901,1.922,5.198,1.4067095586871183,1.4327,0.5194,1.1958,1.2339,1.18,1.1283,1.124,1.124,1.1389,1.2033
1771490466.04621,1.959,5.398,1.4223522340212382,1.4505,0.51972,1.1951,1.2347,1.1799,1.1278,1.127,1.1251,1.1393,1.2043
1771490468.8481493,1.996,5.598,1.4379949093553583,1.4673,0.51962,1.1961,1.2349,1.1807,1.1278,1.1257,1.1251,1.1388,1.2041
1771490471.6519215,2.031,5.798,1.4536375846894782,1.4839,0.52007,1.1981,1.2361,1.1797,1.1287,1.1278,1.1261,1.1408,1.2046
1771490474.451704,2.067,5.998,1.4692802600235981,1.5009,0.5183,1.1987,1.237,1.1802,1.1276,1.1203,1.1203,1.141,1.2055
