Setting,VDDD_ROC0,VDDA_ROC0,VDDD_ROC1,VDDA_ROC1,VDDD_ROC2,VDDA_ROC2,VDDD_ROC3,VDDA_ROC3
0.0,1.0073,1.0472,0.97726,0.95553,0.94093,0.93734,0.95776,1.0187
1.0,1.0333,1.0727,1.0012,0.97847,0.9567,0.9615,0.98024,1.0446
2.0,1.0571,1.0967,1.0269,1.0008,0.98398,0.98348,1.0048,1.0666
3.0,1.0844,1.1234,1.051,1.0242,1.0088,1.0075,1.0244,1.0923
4.0,1.1047,1.1483,1.0743,1.0416,1.0321,1.0279,1.0483,1.1131
5.0,1.13,1.1736,1.0979,1.0641,1.0487,1.053,1.0698,1.1375
6.0,1.1535,1.1973,1.1243,1.0874,1.0758,1.0736,1.0943,1.1613
7.0,1.1789,1.2217,1.1476,1.1101,1.1004,1.0985,1.1175,1.1868
8.0,1.2002,1.2489,1.1706,1.1297,1.1142,1.1227,1.1409,1.2111
9.0,1.2261,1.2726,1.1943,1.1517,1.1394,1.1471,1.1621,1.2356
10.0,1.2492,1.2967,1.2187,1.1758,1.1659,1.1692,1.1869,1.2577
11.0,1.2747,1.3229,1.2429,1.1983,1.1891,1.1934,1.2087,1.2832
12.0,1.2944,1.3461,1.2672,1.2161,1.2127,1.2151,1.2324,1.3034
13.0,1.3204,1.3708,1.2915,1.2389,1.229,1.2387,1.2511,1.3282
14.0,1.3442,1.394,1.3149,1.2604,1.256,1.2592,1.2748,1.3508
15.0,1.3689,1.4205,1.3373,1.2803,1.2801,1.2827,1.2962,1.3753
